frame,face_id,timestamp,confidence,success,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c
53,0,0.000,0.98,1,0.00,0.00,0.00,0.00,2.01,0.99,0.31,1.17,2.14,0.76,0.00,2.40,2.86,0.90,0.47,0.92,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
54,0,0.000,0.98,1,0.35,0.08,0.00,0.00,1.36,0.62,0.21,0.79,1.74,0.51,0.34,2.00,1.96,0.62,0.27,0.70,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
55,0,0.000,0.98,1,0.80,0.21,0.00,0.08,0.67,0.25,0.08,0.45,1.39,0.27,0.39,1.35,0.99,0.31,0.15,0.71,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
56,0,0.000,0.98,1,1.23,0.21,0.00,0.08,0.23,0.00,0.00,0.72,1.34,0.41,0.73,0.82,0.00,0.00,0.32,0.50,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
57,0,0.000,0.88,1,1.28,0.13,0.52,0.08,0.54,0.93,0.39,0.99,1.15,0.88,0.39,0.42,0.00,0.00,0.32,0.41,0.67,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
58,0,0.000,0.82,1,1.21,0.00,1.19,0.00,0.94,2.29,0.91,1.29,0.95,1.33,0.33,0.28,0.00,0.00,0.31,0.07,1.26,1.00,1.00,0.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
59,0,0.000,0.98,1,0.79,0.00,1.77,0.00,1.71,2.75,1.12,1.30,1.06,1.52,0.00,0.00,0.05,0.00,0.62,0.11,1.26,1.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
60,0,0.000,0.98,1,0.93,0.47,1.24,0.08,2.10,1.82,0.73,1.91,2.07,1.64,0.11,0.61,0.05,0.44,1.06,0.15,0.59,1.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
61,0,0.000,0.98,1,1.11,0.97,0.58,0.08,2.45,0.46,0.21,2.50,3.16,1.70,0.35,1.27,0.05,0.91,1.32,0.15,0.00,1.00,1.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
62,0,0.000,0.98,1,1.59,1.35,0.00,0.08,2.22,0.12,0.00,2.74,3.63,1.63,0.45,1.93,0.00,1.41,0.99,0.18,0.00,1.00,1.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
63,0,0.000,0.98,1,1.06,0.88,0.00,0.00,1.53,0.53,0.00,2.04,2.66,1.27,0.39,1.91,0.09,0.97,0.66,1.11,0.61,1.00,1.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,1.00,0.00,0.00
64,0,0.000,0.88,1,0.51,0.38,0.02,0.00,0.79,0.92,0.00,1.23,1.58,0.88,0.18,1.72,0.15,0.50,0.46,2.08,1.31,1.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00
65,0,0.000,0.88,1,0.08,0.00,0.08,0.00,0.02,1.23,0.00,0.44,0.49,0.57,0.24,1.53,0.26,0.00,0.26,2.90,1.89,1.00,1.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00
66,0,0.000,0.88,1,0.17,0.00,0.08,0.00,0.57,1.43,0.02,0.47,1.05,0.89,0.19,1.37,0.17,0.00,0.72,2.28,1.44,1.00,1.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00
67,0,0.000,0.98,1,0.17,0.00,0.91,0.00,0.62,1.04,0.10,0.35,1.15,1.12,0.55,2.07,0.40,0.51,0.66,1.32,0.75,0.00,1.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00
68,0,0.000,0.98,1,0.25,0.00,0.85,0.00,1.12,1.46,0.14,0.46,1.58,1.29,0.38,2.05,0.29,0.51,0.99,0.70,0.28,0.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00
69,0,0.000,0.98,1,0.15,0.00,0.95,0.00,1.39,1.43,0.22,1.07,1.54,1.29,0.50,2.31,0.64,0.51,1.23,0.69,0.13,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
70,0,0.000,0.98,1,0.15,0.00,0.10,0.00,2.11,1.88,0.16,1.84,2.02,1.56,0.35,1.91,0.61,0.00,1.80,0.82,0.13,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
71,0,0.000,0.98,1,0.00,0.00,0.18,0.00,2.49,1.65,0.14,2.46,2.15,1.69,0.46,2.04,0.96,0.00,2.11,0.92,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00
72,0,0.000,0.98,1,0.00,0.00,0.09,0.00,1.83,1.37,0.05,2.05,2.52,1.82,0.34,1.42,0.61,0.00,1.31,0.71,0.57,0.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00
73,0,0.000,0.98,1,0.00,0.00,0.09,0.00,1.27,0.92,0.02,1.76,2.89,1.74,0.11,0.67,0.34,0.00,0.83,0.58,0.57,0.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00
74,0,0.000,0.98,1,0.00,0.00,0.00,0.00,0.74,0.40,0.00,1.55,3.28,2.02,0.00,0.13,0.00,0.00,0.11,0.22,1.05,0.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00
75,0,0.000,0.98,1,0.00,0.00,0.00,0.00,0.95,0.14,0.00,1.35,3.29,1.79,0.22,0.51,0.00,0.22,0.11,0.09,1.75,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00
76,0,0.000,0.98,1,0.00,0.00,0.00,0.00,1.13,0.33,0.00,1.12,3.26,1.65,0.30,0.86,0.00,0.47,0.03,0.09,3.09,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
77,0,0.000,0.98,1,0.00,0.00,0.00,0.00,1.21,0.24,0.00,0.85,3.07,1.26,0.54,1.15,0.00,0.62,0.00,0.00,3.66,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00
78,0,0.000,0.98,1,0.00,0.00,0.00,0.00,1.41,0.65,0.09,1.16,2.72,1.80,0.67,1.34,0.18,0.39,0.00,0.00,2.39,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00
79,0,0.000,0.98,1,0.00,0.00,0.05,0.00,1.58,0.93,0.09,1.54,2.18,1.87,1.36,1.66,0.75,0.15,0.26,0.27,1.05,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00
80,0,0.000,0.98,1,0.00,0.00,0.19,0.00,1.58,1.26,0.26,1.33,1.60,1.55,1.50,1.87,0.80,0.07,0.26,0.27,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00
81,0,0.000,0.88,1,0.82,0.88,1.25,0.00,1.02,1.84,0.18,1.11,1.31,0.80,1.15,1.61,0.62,0.07,0.42,0.47,0.15,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00
82,0,0.000,0.93,1,1.15,1.22,1.94,0.00,0.64,2.60,0.18,0.46,1.04,0.31,0.38,1.20,0.05,0.07,0.36,0.75,0.15,0.00,1.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00
83,0,0.000,0.98,1,1.54,1.57,2.60,0.00,0.47,3.55,0.00,0.41,1.00,0.23,0.00,0.89,0.00,0.00,0.58,1.38,0.15,0.00,1.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
