frame,face_id,timestamp,confidence,success,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c
68,0,0.000,0.93,1,0.01,0.00,0.00,0.00,1.52,0.00,0.00,1.34,2.41,2.35,0.00,0.75,0.00,0.28,0.00,0.00,0.10,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
69,0,0.000,0.93,1,0.01,0.00,0.61,0.00,1.80,1.08,0.00,1.53,2.76,2.06,0.00,0.75,0.00,0.82,0.34,0.27,0.10,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
70,0,0.000,0.93,1,0.01,0.00,1.25,0.00,2.07,2.02,0.00,1.67,3.12,1.92,0.00,0.79,0.00,1.21,0.67,0.57,0.12,1.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
71,0,0.000,0.93,1,0.00,0.00,1.76,0.00,2.51,2.90,0.00,2.04,3.42,1.64,0.00,0.74,0.00,1.43,1.03,0.89,0.06,1.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
72,0,0.000,0.93,1,0.24,0.00,1.14,0.00,1.90,1.82,0.00,1.77,2.85,1.56,0.00,1.13,0.00,0.89,1.00,1.10,0.06,1.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
73,0,0.000,0.93,1,0.70,0.00,0.51,0.00,1.16,0.88,0.00,1.53,2.31,1.44,0.00,1.46,0.00,0.37,0.77,1.20,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
74,0,0.000,0.88,1,1.12,0.00,0.00,0.00,0.40,0.00,0.00,1.24,1.82,1.57,0.00,1.84,0.00,0.01,0.58,1.43,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
75,0,0.000,0.98,1,1.13,0.00,0.10,0.01,0.29,0.00,0.01,1.49,1.38,1.26,0.00,1.88,0.02,0.11,0.27,0.95,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
76,0,0.000,0.98,1,0.90,0.00,0.21,0.01,0.16,0.00,0.10,1.68,0.83,0.98,0.02,1.94,0.08,0.21,0.17,0.54,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
77,0,0.000,0.98,1,0.62,0.00,0.39,0.01,0.00,0.00,0.18,1.76,0.28,0.65,0.02,1.91,0.25,0.23,0.00,0.02,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
78,0,0.000,0.98,1,0.38,0.00,0.37,0.00,0.33,0.00,0.40,1.38,0.52,0.83,0.03,1.59,0.22,0.16,0.00,0.08,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
79,0,0.000,0.93,1,0.16,0.00,0.36,0.00,0.71,0.00,0.50,0.87,0.84,1.11,0.01,1.25,0.17,0.09,0.00,0.12,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00
80,0,0.000,0.98,1,0.00,0.00,0.25,0.00,1.11,0.10,0.59,0.54,1.16,1.33,0.08,0.93,0.00,0.07,0.00,0.15,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00
81,0,0.000,0.98,1,0.00,0.00,0.16,0.00,1.48,0.15,0.53,0.80,1.61,1.44,0.22,0.94,0.00,0.03,0.03,0.23,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00
82,0,0.000,0.98,1,0.00,0.00,0.06,0.00,1.76,0.21,0.66,1.13,2.00,1.51,0.24,0.81,0.00,0.00,0.16,0.24,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00
83,0,0.000,0.98,1,0.00,0.00,0.00,0.00,2.01,0.11,0.70,1.29,2.39,1.43,0.17,0.72,0.00,0.00,0.36,0.22,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00
