frame,face_id,timestamp,confidence,success,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c,image
162,0,0.0,0.98,1,0.08,0.0,0.1,0.0,1.11,2.02,0.0,0.91,1.92,0.83,0.03,0.3,0.0,0.0,0.79,0.69,1.01,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,asmita_clip_015_3.jpg
163,0,0.0,0.93,1,0.96,0.21,0.22,0.0,0.63,1.41,0.0,0.73,1.24,0.64,0.03,0.39,0.0,0.0,0.39,0.97,0.81,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,asmita_clip_016_1.jpg
164,0,0.0,0.88,1,1.9,0.39,0.42,0.0,0.07,0.88,0.0,0.53,0.58,0.4,0.08,0.48,0.0,0.0,0.0,1.3,0.62,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,asmita_clip_016_2.jpg
165,0,0.0,0.93,1,1.82,0.39,0.32,0.0,0.68,0.92,0.23,1.06,1.45,0.46,0.05,0.23,0.0,0.0,0.43,0.97,0.3,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,asmita_clip_016_3.jpg
166,0,0.0,0.98,1,0.94,0.18,0.2,0.0,1.29,1.43,0.42,1.42,2.12,0.36,0.05,0.13,0.0,0.0,0.97,0.97,0.21,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,asmita_clip_017_1.jpg
167,0,0.0,0.98,1,0.0,0.0,0.0,0.0,1.89,1.74,0.64,1.76,2.74,0.39,0.0,0.0,0.0,0.0,1.36,0.82,0.1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,asmita_clip_017_2.jpg
168,0,0.0,0.98,1,0.14,0.0,0.0,0.0,1.55,1.57,0.41,2.05,2.83,0.69,0.06,0.44,0.03,0.0,1.32,1.09,0.21,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,asmita_clip_017_3.jpg
169,0,0.0,0.93,1,0.28,0.0,0.0,0.0,1.05,1.42,0.22,2.33,2.71,0.9,0.07,0.71,0.03,0.0,1.02,0.72,0.15,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,asmita_clip_018_1.jpg
170,0,0.0,0.98,1,0.44,0.0,0.07,0.0,0.77,1.47,0.05,2.47,2.66,1.15,0.07,1.24,0.2,0.0,0.86,0.92,0.15,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,asmita_clip_018_2.jpg
171,0,0.0,0.88,1,0.3,0.0,0.07,0.0,1.07,1.94,0.05,1.89,2.67,0.99,0.01,1.45,0.17,0.0,0.85,1.03,0.64,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,asmita_clip_018_3.jpg
172,0,0.0,0.93,1,0.37,0.0,0.07,0.0,1.61,2.24,0.05,1.36,2.82,0.98,0.0,1.56,0.36,0.0,0.89,1.37,1.11,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,asmita_clip_019_1.jpg
173,0,0.0,0.93,1,0.21,0.0,0.0,0.0,2.01,2.53,0.0,0.95,2.9,0.77,0.0,1.43,0.19,0.11,1.07,1.28,1.28,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,asmita_clip_019_2.jpg
174,0,0.0,0.88,1,0.56,0.0,1.12,0.05,1.97,3.3,0.21,1.25,2.17,0.69,0.0,1.58,0.19,0.11,0.68,1.31,0.84,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,asmita_clip_019_3.jpg
175,0,0.0,0.93,1,0.69,0.0,2.2,0.09,1.87,4.22,0.45,1.51,1.49,0.56,0.0,2.13,0.0,0.28,0.6,1.77,0.66,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,asmita_clip_020_1.jpg
176,0,0.0,0.98,1,1.06,0.0,3.16,0.15,1.78,5.0,0.62,1.85,0.9,0.64,0.0,2.62,0.0,0.41,0.37,2.11,0.73,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,asmita_clip_020_2.jpg
177,0,0.0,0.98,1,0.76,0.0,2.04,0.1,1.78,4.12,0.41,2.05,1.64,1.15,0.0,1.82,0.0,0.41,0.67,2.1,0.52,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,asmita_clip_020_3.jpg
178,0,0.0,0.98,1,0.49,0.0,0.95,0.06,1.72,3.13,0.17,2.27,2.36,1.63,0.0,0.93,0.0,0.24,0.82,1.87,0.23,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,asmita_clip_021_1.jpg
179,0,0.0,0.98,1,0.18,0.0,0.0,0.0,1.56,2.2,0.0,2.39,3.07,1.99,0.0,0.05,0.0,0.0,0.93,1.71,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,asmita_clip_021_2.jpg
180,0,0.0,0.98,1,0.57,0.56,0.0,0.0,1.28,1.87,0.0,1.64,2.86,1.44,0.0,0.12,0.0,0.0,0.8,1.4,0.22,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,asmita_clip_021_3.jpg
181,0,0.0,0.98,1,1.01,1.1,0.0,0.0,0.96,1.68,0.0,0.8,2.53,0.85,0.0,0.11,0.0,0.0,0.52,1.13,0.36,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,asmita_clip_022_1.jpg
182,0,0.0,0.98,1,1.44,1.6,0.0,0.0,0.72,1.43,0.0,0.0,2.24,0.38,0.0,0.19,0.0,0.0,0.39,0.91,0.57,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,asmita_clip_022_2.jpg
183,0,0.0,0.98,1,1.19,1.04,0.0,0.0,0.48,0.98,0.0,0.18,1.89,0.73,0.0,0.12,0.0,0.0,0.71,0.94,1.15,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,asmita_clip_022_3.jpg
184,0,0.0,0.93,1,1.09,0.51,0.0,0.0,0.26,0.49,0.0,0.47,1.72,1.03,0.0,0.08,0.0,0.0,1.31,0.99,2.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,asmita_clip_023_1.jpg
185,0,0.0,0.93,1,1.02,0.0,0.0,0.0,0.0,0.0,0.0,0.72,1.41,1.18,0.02,0.0,0.0,0.0,1.67,0.89,2.77,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,asmita_clip_023_2.jpg
186,0,0.0,0.98,1,0.81,0.0,0.0,0.0,0.6,0.86,0.0,0.81,1.78,1.25,0.02,0.22,0.0,0.15,1.18,0.54,2.08,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,asmita_clip_023_3.jpg
187,0,0.0,0.93,1,0.42,0.0,0.0,0.0,1.21,1.79,0.0,0.77,2.01,1.33,0.02,0.5,0.0,0.3,0.52,0.19,1.16,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,asmita_clip_024_1.jpg
188,0,0.0,0.93,1,0.0,0.0,0.0,0.0,1.84,2.57,0.0,0.9,2.35,1.49,0.0,0.77,0.0,0.46,0.0,0.0,0.23,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,asmita_clip_024_2.jpg
189,0,0.0,0.93,1,0.23,0.06,0.0,0.0,1.39,1.99,0.0,0.83,2.3,1.25,0.0,0.71,0.0,0.31,0.01,0.74,0.13,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,asmita_clip_024_3.jpg
190,0,0.0,0.98,1,0.38,0.2,0.0,0.06,0.92,1.37,0.0,0.73,2.33,0.88,0.0,0.54,0.0,0.16,0.19,1.53,0.06,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,asmita_clip_025_1.jpg
191,0,0.0,0.98,1,0.66,0.38,0.0,0.06,0.43,0.72,0.0,0.53,2.3,0.61,0.0,0.52,0.0,0.0,0.19,2.38,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,asmita_clip_025_2.jpg
192,0,0.0,0.98,1,0.43,0.32,0.02,0.06,0.96,0.72,0.0,1.14,2.42,0.76,0.0,0.62,0.0,0.0,0.76,2.39,0.23,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,asmita_clip_025_3.jpg
193,0,0.0,0.98,1,0.28,0.18,0.02,0.0,1.52,0.58,0.0,1.83,2.46,1.03,0.0,0.82,0.0,0.0,1.08,2.31,0.57,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,asmita_clip_027_1.jpg
194,0,0.0,0.98,1,0.0,0.0,0.14,0.0,2.08,0.88,0.0,2.59,2.57,1.26,0.03,0.82,0.0,0.06,1.63,2.25,0.72,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,asmita_clip_027_2.jpg
195,0,0.0,0.98,1,0.02,0.0,0.58,0.0,2.01,0.95,0.21,1.93,2.63,1.09,0.03,0.56,0.0,0.06,1.76,1.5,0.52,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,asmita_clip_027_3.jpg
196,0,0.0,0.93,1,0.02,0.0,0.74,0.0,2.22,1.03,0.21,1.7,3.0,1.26,0.03,0.24,0.0,0.06,2.17,0.79,0.18,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,asmita_clip_028_1.jpg
197,0,0.0,0.93,1,0.02,0.0,0.79,0.0,2.58,0.95,0.33,1.52,3.34,1.39,0.0,0.14,0.0,0.0,2.18,0.0,0.15,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,asmita_clip_028_2.jpg
198,0,0.0,0.98,1,0.0,0.07,0.32,0.09,2.33,0.61,0.13,1.77,3.15,1.16,0.0,0.3,0.06,0.0,2.0,0.0,0.12,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,asmita_clip_028_3.jpg
199,0,0.0,0.98,1,0.0,0.12,0.16,0.2,1.8,0.36,0.13,1.57,2.75,0.61,0.0,0.4,0.15,0.07,1.65,0.0,0.12,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,asmita_clip_029_1.jpg
200,0,0.0,0.98,1,0.0,0.12,0.0,0.29,1.1,0.0,0.0,1.26,2.31,0.0,0.02,0.45,0.15,0.15,1.63,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,asmita_clip_029_2.jpg
201,0,0.0,0.98,1,0.0,0.04,0.19,0.2,1.29,0.0,0.0,1.6,2.52,0.94,0.06,0.52,0.09,0.15,1.62,0.34,0.68,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,asmita_clip_029_3.jpg
202,0,0.0,0.93,1,0.0,0.0,0.45,0.09,1.55,0.14,0.0,2.01,2.64,1.83,0.14,0.62,0.01,0.08,1.64,0.68,1.42,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,asmita_clip_030_1.jpg
203,0,0.0,0.98,1,0.0,0.0,0.68,0.0,1.81,0.3,0.0,2.4,2.78,2.74,0.17,0.66,0.0,0.0,1.67,1.02,2.13,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,asmita_clip_030_2.jpg
204,0,0.0,0.98,1,0.0,0.0,0.49,0.0,1.55,0.84,0.0,2.07,2.44,1.89,0.21,0.43,0.0,0.0,1.83,0.95,1.67,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,asmita_clip_030_3.jpg
205,0,0.0,0.98,1,0.0,0.0,0.23,0.0,1.14,1.27,0.0,1.6,2.1,1.07,0.37,0.27,0.0,0.0,1.8,0.77,1.19,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,sana_clip_001_1.jpg
206,0,0.0,0.98,1,0.0,0.0,0.0,0.0,0.8,1.76,0.0,1.15,1.79,0.25,0.45,0.04,0.0,0.0,1.9,0.79,0.68,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,sana_clip_001_2.jpg
207,0,0.0,0.98,1,0.0,0.0,0.22,0.0,1.21,1.97,0.0,1.16,1.94,0.77,0.38,0.14,0.18,0.0,1.81,0.95,0.46,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,sana_clip_001_3.jpg
208,0,0.0,0.98,1,0.0,0.0,0.42,0.0,1.68,2.15,0.0,1.18,2.11,1.42,0.14,0.28,0.36,0.0,1.78,1.24,0.2,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,sana_clip_002_1.jpg
209,0,0.0,0.98,1,0.0,0.0,0.58,0.0,2.02,2.07,0.0,1.21,2.28,1.84,0.0,0.35,0.52,0.0,1.62,1.27,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,sana_clip_002_2.jpg
210,0,0.0,0.98,1,0.0,0.0,0.38,0.0,1.61,1.34,0.0,1.07,2.32,1.6,0.0,0.38,0.34,0.0,1.03,0.87,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,sana_clip_002_3.jpg
211,0,0.0,0.98,1,0.0,0.0,0.18,0.0,1.24,0.57,0.0,1.0,2.47,1.33,0.0,0.23,0.16,0.0,0.52,0.44,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,sana_clip_003_1.jpg
212,0,0.0,0.98,1,0.0,0.0,0.07,0.0,0.96,0.0,0.0,0.91,2.58,1.32,0.0,0.15,0.0,0.0,0.0,0.05,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sana_clip_003_2.jpg
213,0,0.0,0.98,1,0.96,0.35,0.24,0.0,0.71,0.0,0.0,1.19,2.21,1.03,0.16,0.18,0.0,0.13,0.46,0.02,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sana_clip_003_3.jpg
214,0,0.0,0.88,1,1.76,0.51,0.37,0.0,0.49,0.0,0.0,1.51,1.64,0.7,0.24,0.7,0.0,0.33,0.75,0.71,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sana_clip_004_1.jpg
215,0,0.0,0.93,1,2.5,0.59,0.53,0.0,0.33,0.0,0.0,1.97,1.26,0.56,0.42,1.11,0.0,0.52,1.15,1.24,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sana_clip_004_2.jpg
216,0,0.0,0.93,1,2.26,0.72,0.42,0.12,0.29,0.0,0.15,1.61,0.84,0.47,1.93,2.62,0.0,2.05,1.59,1.24,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,sana_clip_004_3.jpg
217,0,0.0,0.57,0,1.46,0.56,0.28,0.12,0.19,0.0,0.15,0.99,0.51,0.35,1.84,2.08,0.0,1.85,1.31,0.54,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,sana_clip_005_1.jpg
218,0,0.0,0.03,0,1.24,1.13,0.09,0.52,0.0,0.0,0.15,0.76,0.04,0.0,3.33,3.33,0.0,3.33,0.91,0.49,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,sana_clip_005_2.jpg
219,0,0.0,0.57,0,0.51,0.64,0.02,0.4,0.0,0.0,0.0,0.55,0.04,0.0,1.67,1.67,0.0,1.67,0.0,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sana_clip_005_3.jpg
220,0,0.0,0.03,0,0.51,0.64,0.13,0.4,0.85,0.8,0.21,0.98,0.81,0.4,1.67,1.67,0.0,1.67,0.28,0.72,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sana_clip_006_1.jpg
221,0,0.0,0.98,1,0.0,0.0,0.2,0.0,1.72,1.57,0.47,0.93,1.57,0.91,0.0,0.0,0.0,0.0,0.53,0.48,0.63,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,sana_clip_006_2.jpg
222,0,0.0,0.98,1,0.0,0.0,0.53,0.0,2.85,2.28,0.48,1.64,2.66,1.38,0.0,0.07,0.02,0.0,1.6,0.85,0.63,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,sana_clip_006_3.jpg
223,0,0.0,0.98,1,0.0,0.0,0.92,0.0,3.15,2.23,0.36,1.94,3.01,1.55,0.0,0.07,0.02,0.0,2.35,0.83,0.4,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,sana_clip_007_1.jpg
224,0,0.0,0.98,1,0.0,0.0,1.54,0.0,3.08,1.9,0.1,2.29,3.3,1.53,0.0,0.28,0.02,0.0,3.19,0.9,0.18,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,sana_clip_007_2.jpg
225,0,0.0,0.98,1,0.0,0.0,1.21,0.0,2.47,1.19,0.09,1.98,3.08,1.45,0.0,0.21,0.06,0.04,2.12,0.53,0.18,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,sana_clip_007_3.jpg
226,0,0.0,0.98,1,0.0,0.0,0.72,0.0,1.8,0.48,0.0,1.66,2.87,1.3,0.0,0.21,0.22,0.17,1.09,0.32,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,sana_clip_008_1.jpg
227,0,0.0,0.98,1,0.0,0.0,0.0,0.0,1.45,0.13,0.0,1.24,2.73,1.27,0.0,0.0,0.43,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,sana_clip_008_2.jpg
228,0,0.0,0.98,1,0.0,0.0,0.41,0.0,1.56,1.06,0.18,1.47,2.48,1.77,0.0,0.43,0.37,0.42,0.97,0.99,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,sana_clip_008_3.jpg
229,0,0.0,0.98,1,0.0,0.0,0.79,0.0,1.68,2.05,0.28,1.68,2.22,2.28,0.0,0.91,0.21,0.29,1.87,2.04,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,sana_clip_009_1.jpg
230,0,0.0,0.98,1,0.0,0.0,1.15,0.0,1.8,2.73,0.4,1.81,1.95,2.73,0.07,1.37,0.0,0.0,2.34,2.43,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,sana_clip_009_2.jpg
231,0,0.0,0.98,1,0.02,0.0,0.84,0.0,2.04,2.11,0.22,1.63,2.27,1.98,0.27,0.94,0.0,0.0,2.16,1.45,0.69,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,sana_clip_009_3.jpg
232,0,0.0,0.98,1,0.04,0.0,0.53,0.0,2.29,1.32,0.12,1.4,2.52,1.19,0.46,0.51,0.0,0.0,2.1,0.39,1.44,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,sana_clip_010_1.jpg
233,0,0.0,0.98,1,0.13,0.0,0.29,0.0,2.59,0.85,0.0,1.3,2.76,0.44,0.67,0.09,0.0,0.0,2.44,0.0,2.2,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,sana_clip_010_2.jpg
234,0,0.0,0.98,1,0.12,0.0,0.51,0.0,2.38,1.35,0.0,1.33,2.52,0.77,0.62,0.86,0.0,0.3,1.64,0.14,1.68,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,sana_clip_010_3.jpg
235,0,0.0,0.98,1,0.09,0.0,0.7,0.0,2.25,1.9,0.0,1.41,2.3,1.07,0.67,1.66,0.0,0.66,0.8,0.29,0.98,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,sana_clip_011_1.jpg
236,0,0.0,0.98,1,0.0,0.0,0.86,0.0,2.14,2.51,0.0,1.43,2.11,1.45,0.55,2.49,0.0,0.99,0.0,0.46,0.35,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,sana_clip_011_2.jpg
237,0,0.0,0.98,1,0.43,0.0,0.54,0.0,1.75,2.22,0.0,1.43,2.12,1.42,0.43,2.02,0.0,0.69,0.38,0.43,0.18,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,sana_clip_011_3.jpg
238,0,0.0,0.98,1,0.92,0.0,0.28,0.0,1.29,2.35,0.0,1.42,2.09,1.41,0.34,1.53,0.0,0.33,0.78,0.47,0.13,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,sana_clip_012_1.jpg
239,0,0.0,0.98,1,1.48,0.1,0.0,0.0,0.86,2.19,0.0,1.48,2.13,1.54,0.3,0.94,0.0,0.0,1.17,0.51,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,sana_clip_012_2.jpg
240,0,0.0,0.98,1,1.04,0.1,0.0,0.0,1.53,2.25,0.58,2.1,2.36,1.69,0.27,0.66,0.0,0.0,1.09,0.4,0.33,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,sana_clip_012_3.jpg
241,0,0.0,0.98,1,0.56,0.1,0.0,0.0,2.25,2.14,1.28,2.73,2.57,1.88,0.14,0.31,0.0,0.0,0.97,0.21,0.73,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,sana_clip_013_1.jpg
242,0,0.0,0.98,1,0.0,0.0,0.01,0.0,2.92,1.52,1.85,3.19,2.84,1.72,0.14,0.27,0.0,0.0,0.99,0.0,1.12,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,sana_clip_013_2.jpg
